genre,lex_clean,frequency
Law,DJCWN/,1
Law,DJH/,1
Law,DLT/,1
Law,DWKJPT/,1
Law,FB<[,1
Law,FDH/,1
Law,FKJR/,1
Law,FKR/,1
Law,FMX/,1
Law,FPH/,1
Law,GB<H/,1
Law,GD<[,1
Law,GDD[,1
Law,GDJ/,1
Law,GLL/,1
Law,GML/,1
Law,GR<[,1
Law,GZL/,1
Law,GZLH/,1
Law,GZL[,1
Law,GZZ[,1
Law,J<NH/,1
Law,JC/,1
Law,JDH[,1
Law,JJN/,1
Law,JLD[,1
Law,JNCWP/,1
Law,JRK/,1
Law,JXMWR/,1
Law,KBF/,1
Law,KBS[,1
Law,KFBH/,1
Law,KHN[,1
Law,KNP/,1
Law,KRML=/,1
Law,KWN[,1
Law,KWS=/,1
Law,LJN[,1
Law,LMD[,1
Law,M>PH/,1
Law,M>WMH/,1
Law,MBXR/,1
Law,MCH/,1
Law,MCNH/,1
Law,MD/,1
Law,MDBR/,1
Law,MKNS/,1
Law,ML>JM/,1
Law,MLX[,1
Law,MNH/,1
Law,MNWXH/,1
Law,MR>H==/,1
Law,MRQ[,1
Law,MRY</,1
Law,MSH=/,1
Law,MTNH/,1
Law,MWL/,1
Law,MWQDH/,1
Law,MXRT/,1
Law,MXSWR/,1
Law,NC>[,1
Law,NCR/,1
Law,NFG[,1
Law,NFJ>/,1
Law,NGC[,1
Law,NGD[,1
Law,NKR[,1
Law,NQC[,1
Law,NSH[,1
Law,NTY[,1
Law,NV<[,1
Law,NVH[,1
Law,NWP[,1
Law,NXCT/,1
Law,NXL[,1
Law,NY/,1
Law,NYH/,1
Law,PGWL/,1
Law,PH,1
Law,PNH[,1
Law,PQD[,1
Law,PRC=/,1
Law,PRS/,1
Law,PSJL/,1
Law,PSX=/,1
Law,PTT[,1
Law,Q>T/,1
Law,QBY[,1
Law,QCH[,1
Law,QDM/,1
Law,QLH[,1
Law,QMH/,1
Law,QPY[,1
Law,QRWB/,1
Law,QRXH/,1
Law,QVRT/,1
Law,QY/,1
Law,R<NN/,1
Law,R>CJT/,1
Law,R>H=/,1
Law,RDP[,1
Law,RXB==/,1
Law,RXB[,1
Law,RXMH/,1
Law,RXMJM/,1
Law,RXM[,1
Law,RXWQ/,1
Law,RYWN/,1
Law,SGLH/,1
Law,SLP[,1
Law,SM/,1
Law,SQL[,1
Law,SRH/,1
Law,STR/,1
Law,SWT[,1
Law,T>W/,1
Law,TFWMT/,1
Law,TL/,1
Law,TNCMT/,1
Law,TPJNJM/,1
Law,TWK/,1
Law,TXMS/,1
Law,VM>[,1
Law,VRJPH/,1
Law,VWB/,1
Law,VWB[,1
Law,XCB[,1
Law,XDL[,1
Law,XGG[,1
Law,XJ/,1
Law,XJH/,1
Law,XJH[,1
Law,XJJM/,1
Law,XJQ/,1
Law,XKM/,1
Law,XLB/,1
Law,XML[,1
Law,XPZWN/,1
Law,XQR[,1
Law,XRB==/,1
Law,XRF/,1
Law,XRM/,1
Law,XRMC/,1
Law,XRM[,1
Law,XRWN/,1
Law,XSJDH/,1
Law,XSR[,1
Law,XV>/,1
Law,XWS[,1
Law,XZJR/,1
Law,XZQ[,1
Law,YDJQ/,1
Law,YPWN/,1
Law,YPWR/,1
Law,YWR[,1
Law,ZKWR/,1
Law,ZMR/,1
Law,ZQN/,1
Law,ZR</,1
Narrative,>MR[,218
Narrative,KL/,101
Narrative,>JC/,97
Narrative,BW>[,97
Narrative,HJH[,86
Narrative,>X/,79
Narrative,>RY/,69
Narrative,>B/,64
Narrative,PR<H/,57
Narrative,BN/,54
Narrative,BJT/,53
Narrative,JD/,53
Narrative,NTN[,51
Narrative,R>H[,49
Narrative,<FH[,48
Narrative,JWM/,47
Narrative,HLK[,44
Narrative,PNH/,43
Narrative,>LHJM/,41
Narrative,<BD/,39
Narrative,<M/,38
Narrative,LQX[,37
Narrative,DBR/,35
Narrative,CLX[,32
Narrative,CB</,31
Narrative,JRD[,31
Narrative,<LH[,30
Narrative,MY>[,30
Narrative,>DWN/,29
Narrative,>JN/,29
Narrative,XLWM/,29
Narrative,MLK/,28
Narrative,CM,27
Narrative,CM<[,27
Narrative,DBR[,27
Narrative,GM,27
Narrative,JY>[,26
Narrative,CWB[,25
Narrative,<JN/,23
Narrative,>XD/,23
Narrative,>XR/,23
Narrative,FJM[,23
Narrative,FR/,23
Narrative,QR>[,23
Narrative,KSP/,22
Narrative,NGD[,22
Narrative,<WD/,21
Narrative,>KL[,20
Narrative,CLC/,20
Narrative,CNH/,20
Narrative,JD<[,20
Narrative,<TH,19
Narrative,MWT[,18
Narrative,N<R/,18
Narrative,NF>[,18
Narrative,<JR/,16
Narrative,CM/,16
Narrative,R<B/,16
Narrative,>MTXT/,15
Narrative,KN,15
Narrative,QWL/,15
Narrative,>CH/,14
Narrative,>KL/,14
Narrative,VWB/,14
Narrative,<NH[,13
Narrative,C>L[,13
Narrative,CBR=[,13
Narrative,DRK/,13
Narrative,JC/,13
Narrative,XLM[,13
Narrative,PH/,12
Narrative,QWM[,12
Narrative,R</,12
Narrative,CNJM/,11
Narrative,JLD[,11
Narrative,LXM/,11
Narrative,MLK[,11
Narrative,PRH/,11
Narrative,QVN/,11
Narrative,BGD/,10
Narrative,CBLT/,10
Narrative,CLWM/,10
Narrative,JCB[,10
Narrative,<ZB[,9
Narrative,>PH/,9
Narrative,>TWN/,9
Narrative,BKH[,9
Narrative,BWR/,9
Narrative,PTR[,9
Narrative,R>C/,9
Narrative,TWK/,9
Narrative,XMWR/,9
Narrative,<BR[,8
Narrative,<MD[,8
Narrative,>XR=/,8
Narrative,BQC[,8
Narrative,GDWL/,8
Narrative,JKL[,8
Narrative,JR>[,8
Narrative,KTNT/,8
Narrative,NKR[,8
Narrative,SHR/,8
Narrative,SPR[,8
Narrative,VBX=/,8
Narrative,XJ/,8
Narrative,Y>N/,8
Narrative,<BD[,7
Narrative,BFR/,7
Narrative,BMH/,7
Narrative,CQH[,7
Narrative,JSP[,7
Narrative,KLJ/,7
Narrative,R<H/,7
Narrative,RGL[,7
Narrative,XV>[,7
Narrative,>SR[,6
Narrative,BRJ>/,6
Narrative,BT/,6
Narrative,CBR=/,6
Narrative,CBV/,6
Narrative,CPV[,6
Narrative,DQ/,6
Narrative,FB<==/,6
Narrative,FDH/,6
Narrative,M>D/,6
Narrative,M>WMH/,6
Narrative,MCMR/,6
Narrative,MHR[,6
Narrative,MKR[,6
