genre,lex_clean,frequency
Narrative,MQWM/,6
Narrative,MR>H/,6
Narrative,NBJ>/,6
Narrative,NYL[,6
Narrative,R<<[,6
Narrative,R<H[,6
Narrative,RWX/,6
Narrative,XJH[,6
Narrative,XWH[,6
Narrative,YLX[,6
Narrative,<BRJ/,5
Narrative,>YL/,5
Narrative,BD/,5
Narrative,BKR/,5
Narrative,BQR=/,5
Narrative,BR/,5
Narrative,FMLH/,5
Narrative,FQ/,5
Narrative,GBJ</,5
Narrative,HNH==,5
Narrative,JPH/,5
Narrative,KH,5
Narrative,KLH[,5
Narrative,KN/,5
Narrative,KWS/,5
Narrative,LB/,5
Narrative,MCPV/,5
Narrative,ML>K/,5
Narrative,MNXH/,5
Narrative,MYRJ/,5
Narrative,NB>[,5
Narrative,NGC[,5
Narrative,NVH[,5
Narrative,PQD[,5
Narrative,PTRWN/,5
Narrative,R>H/,5
Narrative,SRJS/,5
Narrative,SWR[,5
Narrative,XMC/,5
Narrative,XWY/,5
Narrative,ZKR[,5
Narrative,<WD[,4
Narrative,>K,4
Narrative,>LMH/,4
Narrative,>P/,4
Narrative,>ZN/,4
Narrative,BQR/,4
Narrative,C>R[,4
Narrative,C>WL/,4
Narrative,CKB[,4
Narrative,DM/,4
Narrative,GDJ/,4
Narrative,GDL[,4
Narrative,JC<[,4
Narrative,JCM<>LJ/,4
Narrative,JYB[,4
Narrative,M<V/,4
Narrative,MCL[,4
Narrative,MCNH/,4
Narrative,NPC/,4
Narrative,NPL[,4
Narrative,NWS[,4
Narrative,NXC[,4
Narrative,PTX[,4
Narrative,QR>=[,4
Narrative,R<=/,4
Narrative,RWM[,4
Narrative,SL/,4
Narrative,VRM/,4
Narrative,VRP[,4
Narrative,XRH[,4
Narrative,ZBX/,4
Narrative,ZQN/,4
Narrative,ZR</,4
Narrative,<D=/,3
Narrative,<DLMJ/,3
Narrative,<FR/,3
Narrative,<GLH=/,3
Narrative,<RBWN/,3
Narrative,<T/,3
Narrative,<Z==/,3
Narrative,>HB[,3
Narrative,>LP=/,3
Narrative,>M/,3
Narrative,>SWN/,3
Narrative,BLT/,3
Narrative,BXR[,3
Narrative,CDP[,3
Narrative,CKL[,3
Narrative,CKM/,3
Narrative,CKX[,3
Narrative,CLK[,3
Narrative,CMR[,3
Narrative,DWD/,3
Narrative,FJBH/,3
Narrative,FN>[,3
Narrative,GBWL/,3
Narrative,GNB[,3
Narrative,HRH[,3
Narrative,JLD/,3
Narrative,JMJNJ/,3
Narrative,JQY[,3
Narrative,JVB[,3
Narrative,KLH/,3
Narrative,KRT[,3
Narrative,KSH[,3
Narrative,KWN[,3
Narrative,LBB/,3
Narrative,LKD[,3
Narrative,M<FH/,3
Narrative,M>N[,3
Narrative,M>S[,3
Narrative,MCQH/,3
Narrative,MF>T/,3
