book,chapter,verse,genre,word_node,word,lex,pos,word_utf8,gloss,lex_clean
Genesis,37,23,Narrative,20592,אֶחָ֑יו,>X/,subs,אֶחָ֑יו,brother,>X/
Genesis,37,23,Narrative,20594,יַּפְשִׁ֤יטוּ,PCV[,verb,יַּפְשִׁ֤יטוּ,strip off,PCV[
Genesis,37,23,Narrative,20598,כֻּתָּנְתֹּ֔ו,KTNT/,subs,כֻּתָּנְתֹּ֔ו,tunic,KTNT/
Genesis,37,23,Narrative,20600,כְּתֹ֥נֶת,KTNT/,subs,כְּתֹ֥נֶת,tunic,KTNT/
Genesis,37,23,Narrative,20602,פַּסִּ֖ים,PS/,subs,פַּסִּ֖ים,sole?,PS/
Genesis,37,24,Narrative,20606,יִּ֨קָּחֻ֔הוּ,LQX[,verb,יִּ֨קָּחֻ֔הוּ,take,LQX[
Genesis,37,24,Narrative,20608,יַּשְׁלִ֥כוּ,CLK[,verb,יַּשְׁלִ֥כוּ,throw,CLK[
Genesis,37,24,Narrative,20611,בֹּ֑רָה,BWR/,subs,בֹּ֑רָה,cistern,BWR/
Genesis,37,24,Narrative,20614,בֹּ֣ור,BWR/,subs,בֹּ֣ור,cistern,BWR/
Genesis,37,24,Narrative,20615,רֵ֔ק,RJQ=/,adjv,רֵ֔ק,empty,RJQ=/
Genesis,37,24,Narrative,20616,אֵ֥ין,>JN/,subs,אֵ֥ין,<NEG>,>JN/
Genesis,37,24,Narrative,20618,מָֽיִם׃,MJM/,subs,מָֽיִם,water,MJM/
Genesis,37,25,Narrative,20620,יֵּשְׁבוּ֮,JCB[,verb,יֵּשְׁבוּ֮,sit,JCB[
Genesis,37,25,Narrative,20622,אֱכָל־,>KL[,verb,אֱכָל,eat,>KL[
Genesis,37,25,Narrative,20623,לֶחֶם֒,LXM/,subs,לֶחֶם֒,bread,LXM/
Genesis,37,25,Narrative,20625,יִּשְׂא֤וּ,NF>[,verb,יִּשְׂא֤וּ,lift,NF>[
Genesis,37,25,Narrative,20626,עֵֽינֵיהֶם֙,<JN/,subs,עֵֽינֵיהֶם֙,eye,<JN/
Genesis,37,25,Narrative,20628,יִּרְא֔וּ,R>H[,verb,יִּרְא֔וּ,see,R>H[
Genesis,37,25,Narrative,20631,אֹרְחַ֣ת,>RXH/,subs,אֹרְחַ֣ת,caravan,>RXH/
Genesis,37,25,Narrative,20632,יִשְׁמְעֵאלִ֔ים,JCM<>LJ/,adjv,יִשְׁמְעֵאלִ֔ים,Ishmaelite,JCM<>LJ/
Genesis,37,25,Narrative,20633,בָּאָ֖ה,BW>[,verb,בָּאָ֖ה,come,BW>[
Genesis,37,25,Narrative,20637,גְמַלֵּיהֶ֣ם,GML/,subs,גְמַלֵּיהֶ֣ם,camel,GML/
Genesis,37,25,Narrative,20638,נֹֽשְׂאִ֗ים,NF>[,verb,נֹֽשְׂאִ֗ים,lift,NF>[
Genesis,37,25,Narrative,20639,נְכֹאת֙,NK>T/,subs,נְכֹאת֙,ladanum,NK>T/
Genesis,37,25,Narrative,20641,צְרִ֣י,YRJ/,subs,צְרִ֣י,mastic,YRJ/
Genesis,37,25,Narrative,20643,לֹ֔ט,LV=/,subs,לֹ֔ט,mastic tree,LV=/
Genesis,37,25,Narrative,20644,הֹולְכִ֖ים,HLK[,verb,הֹולְכִ֖ים,walk,HLK[
Genesis,37,25,Narrative,20646,הֹורִ֥יד,JRD[,verb,הֹורִ֥יד,descend,JRD[
Genesis,37,26,Narrative,20649,יֹּ֥אמֶר,>MR[,verb,יֹּ֥אמֶר,say,>MR[
Genesis,37,26,Narrative,20652,אֶחָ֑יו,>X/,subs,אֶחָ֑יו,brother,>X/
Genesis,37,26,Narrative,20654,בֶּ֗צַע,BY</,subs,בֶּ֗צַע,profit,BY</
Genesis,37,26,Narrative,20656,נַהֲרֹג֙,HRG[,verb,נַהֲרֹג֙,kill,HRG[
Genesis,37,26,Narrative,20658,אָחִ֔ינוּ,>X/,subs,אָחִ֔ינוּ,brother,>X/
Genesis,37,26,Narrative,20660,כִסִּ֖ינוּ,KSH[,verb,כִסִּ֖ינוּ,cover,KSH[
Genesis,37,26,Narrative,20662,דָּמֹֽו׃,DM/,subs,דָּמֹֽו,blood,DM/
Genesis,37,27,Narrative,20663,לְכ֞וּ,HLK[,verb,לְכ֞וּ,walk,HLK[
