book,chapter,verse,genre,word_node,word,lex,pos,word_hebrew,lemma_hebrew
Genesis,37,7,Narrative,20277,תֹ֣וךְ ,TWK/,subs,תֹ֣וךְ,תֹוךְ
Genesis,37,7,Narrative,20278,הַ,H,art,הַ,הַ
Genesis,37,7,Narrative,20279,שָּׂדֶ֔ה ,FDH/,subs,שָּׂדֶ֔ה,שָּׂדֶה
Genesis,37,7,Narrative,20280,וְ,W,conj,וְ,וְ
Genesis,37,7,Narrative,20281,הִנֵּ֛ה ,HNH,intj,הִנֵּ֛ה,הִנֵּה
Genesis,37,7,Narrative,20282,קָ֥מָה ,QWM[,verb,קָ֥מָה,קָם
Genesis,37,7,Narrative,20283,אֲלֻמָּתִ֖י ,>LMH/,subs,אֲלֻמָּתִ֖י,אֲלֻםּ
Genesis,37,7,Narrative,20284,וְ,W,conj,וְ,וְ
Genesis,37,7,Narrative,20285,גַם־,GM,advb,גַם,גַם
Genesis,37,7,Narrative,20286,נִצָּ֑בָה ,NYB[,verb,נִצָּ֑בָה,צָּב
Genesis,37,7,Narrative,20287,וְ,W,conj,וְ,וְ
Genesis,37,7,Narrative,20288,הִנֵּ֤ה ,HNH,intj,הִנֵּ֤ה,הִנֵּה
Genesis,37,7,Narrative,20289,תְסֻבֶּ֨ינָה֙ ,SBB[,verb,תְסֻבֶּ֨ינָה֙,סֻבּ
Genesis,37,7,Narrative,20290,אֲלֻמֹּ֣תֵיכֶ֔ם ,>LMH/,subs,אֲלֻמֹּ֣תֵיכֶ֔ם,אֲלֻםּ
Genesis,37,7,Narrative,20291,וַ,W,conj,וַ,וַ
Genesis,37,7,Narrative,20292,תִּֽשְׁתַּחֲוֶ֖יןָ ,XWH[,verb,תִּֽשְׁתַּחֲוֶ֖יןָ,חֲוֶי
Genesis,37,7,Narrative,20293,לַ,L,prep,לַ,לַ
Genesis,37,7,Narrative,20294,אֲלֻמָּתִֽי׃ ,>LMH/,subs,אֲלֻמָּתִֽי,אֲלֻםּ
Genesis,37,8,Narrative,20295,וַ,W,conj,וַ,וַ
Genesis,37,8,Narrative,20296,יֹּ֤אמְרוּ ,>MR[,verb,יֹּ֤אמְרוּ,אמְר
Genesis,37,8,Narrative,20297,לֹו֙ ,L,prep,לֹו֙,ל
Genesis,37,8,Narrative,20298,אֶחָ֔יו ,>X/,subs,אֶחָ֔יו,אֶח
Genesis,37,8,Narrative,20299,הֲ,H=,inrg,הֲ,הֲ
Genesis,37,8,Narrative,20300,מָלֹ֤ךְ ,MLK[,verb,מָלֹ֤ךְ,מָלֹךְ
Genesis,37,8,Narrative,20301,תִּמְלֹךְ֙ ,MLK[,verb,תִּמְלֹךְ֙,מְלֹךְ
Genesis,37,8,Narrative,20302,עָלֵ֔ינוּ ,<L,prep,עָלֵ֔ינוּ,עָלֵי
Genesis,37,8,Narrative,20303,אִם־,>M,conj,אִם,אִם
Genesis,37,8,Narrative,20304,מָשֹׁ֥ול ,MCL[,verb,מָשֹׁ֥ול,מָשֹׁול
Genesis,37,8,Narrative,20305,תִּמְשֹׁ֖ל ,MCL[,verb,תִּמְשֹׁ֖ל,מְשֹׁל
Genesis,37,8,Narrative,20306,בָּ֑נוּ ,B,prep,בָּ֑נוּ,בּ
Genesis,37,8,Narrative,20307,וַ,W,conj,וַ,וַ
